tbm_node_id,component,local_x_m,local_y_m,local_z_m,normal_x,normal_y,normal_z
0,cutterhead,0.0,-4.0,-8.881784197001252e-16,1.0,0.0,0.0
1,cutterhead,0.0,-3.2,-1.6000000000000005,1.0,0.0,0.0
2,cutterhead,0.0,-3.2,-0.8000000000000007,1.0,0.0,0.0
3,cutterhead,0.0,-3.2,-8.881784197001252e-16,1.0,0.0,0.0
4,cutterhead,0.0,-3.2,0.7999999999999989,1.0,0.0,0.0
5,cutterhead,0.0,-3.2,1.5999999999999988,1.0,0.0,0.0
6,cutterhead,0.0,-3.2,2.3999999999999986,1.0,0.0,0.0
7,cutterhead,0.0,-2.4000000000000004,-2.4000000000000004,1.0,0.0,0.0
8,cutterhead,0.0,-2.4000000000000004,-1.6000000000000005,1.0,0.0,0.0
9,cutterhead,0.0,-2.4000000000000004,-0.8000000000000007,1.0,0.0,0.0
10,cutterhead,0.0,-2.4000000000000004,-8.881784197001252e-16,1.0,0.0,0.0
11,cutterhead,0.0,-2.4000000000000004,0.7999999999999989,1.0,0.0,0.0
12,cutterhead,0.0,-2.4000000000000004,1.5999999999999988,1.0,0.0,0.0
13,cutterhead,0.0,-2.4000000000000004,2.3999999999999986,1.0,0.0,0.0
14,cutterhead,0.0,-2.4000000000000004,3.1999999999999984,1.0,0.0,0.0
15,cutterhead,0.0,-1.6000000000000005,-3.2,1.0,0.0,0.0
16,cutterhead,0.0,-1.6000000000000005,-2.4000000000000004,1.0,0.0,0.0
17,cutterhead,0.0,-1.6000000000000005,-1.6000000000000005,1.0,0.0,0.0
18,cutterhead,0.0,-1.6000000000000005,-0.8000000000000007,1.0,0.0,0.0
19,cutterhead,0.0,-1.6000000000000005,-8.881784197001252e-16,1.0,0.0,0.0
20,cutterhead,0.0,-1.6000000000000005,0.7999999999999989,1.0,0.0,0.0
21,cutterhead,0.0,-1.6000000000000005,1.5999999999999988,1.0,0.0,0.0
22,cutterhead,0.0,-1.6000000000000005,2.3999999999999986,1.0,0.0,0.0
23,cutterhead,0.0,-1.6000000000000005,3.1999999999999984,1.0,0.0,0.0
24,cutterhead,0.0,-0.8000000000000007,-3.2,1.0,0.0,0.0
25,cutterhead,0.0,-0.8000000000000007,-2.4000000000000004,1.0,0.0,0.0
26,cutterhead,0.0,-0.8000000000000007,-1.6000000000000005,1.0,0.0,0.0
27,cutterhead,0.0,-0.8000000000000007,-0.8000000000000007,1.0,0.0,0.0
28,cutterhead,0.0,-0.8000000000000007,-8.881784197001252e-16,1.0,0.0,0.0
29,cutterhead,0.0,-0.8000000000000007,0.7999999999999989,1.0,0.0,0.0
30,cutterhead,0.0,-0.8000000000000007,1.5999999999999988,1.0,0.0,0.0
31,cutterhead,0.0,-0.8000000000000007,2.3999999999999986,1.0,0.0,0.0
32,cutterhead,0.0,-0.8000000000000007,3.1999999999999984,1.0,0.0,0.0
33,cutterhead,0.0,-8.881784197001252e-16,-4.0,1.0,0.0,0.0
34,cutterhead,0.0,-8.881784197001252e-16,-3.2,1.0,0.0,0.0
35,cutterhead,0.0,-8.881784197001252e-16,-2.4000000000000004,1.0,0.0,0.0
36,cutterhead,0.0,-8.881784197001252e-16,-1.6000000000000005,1.0,0.0,0.0
37,cutterhead,0.0,-8.881784197001252e-16,-0.8000000000000007,1.0,0.0,0.0
38,cutterhead,0.0,-8.881784197001252e-16,-8.881784197001252e-16,1.0,0.0,0.0
39,cutterhead,0.0,-8.881784197001252e-16,0.7999999999999989,1.0,0.0,0.0
40,cutterhead,0.0,-8.881784197001252e-16,1.5999999999999988,1.0,0.0,0.0
41,cutterhead,0.0,-8.881784197001252e-16,2.3999999999999986,1.0,0.0,0.0
42,cutterhead,0.0,-8.881784197001252e-16,3.1999999999999984,1.0,0.0,0.0
43,cutterhead,0.0,-8.881784197001252e-16,3.9999999999999982,1.0,0.0,0.0
44,cutterhead,0.0,0.7999999999999989,-3.2,1.0,0.0,0.0
45,cutterhead,0.0,0.7999999999999989,-2.4000000000000004,1.0,0.0,0.0
46,cutterhead,0.0,0.7999999999999989,-1.6000000000000005,1.0,0.0,0.0
47,cutterhead,0.0,0.7999999999999989,-0.8000000000000007,1.0,0.0,0.0
48,cutterhead,0.0,0.7999999999999989,-8.881784197001252e-16,1.0,0.0,0.0
49,cutterhead,0.0,0.7999999999999989,0.7999999999999989,1.0,0.0,0.0
50,cutterhead,0.0,0.7999999999999989,1.5999999999999988,1.0,0.0,0.0
51,cutterhead,0.0,0.7999999999999989,2.3999999999999986,1.0,0.0,0.0
52,cutterhead,0.0,0.7999999999999989,3.1999999999999984,1.0,0.0,0.0
53,cutterhead,0.0,1.5999999999999988,-3.2,1.0,0.0,0.0
54,cutterhead,0.0,1.5999999999999988,-2.4000000000000004,1.0,0.0,0.0
55,cutterhead,0.0,1.5999999999999988,-1.6000000000000005,1.0,0.0,0.0
56,cutterhead,0.0,1.5999999999999988,-0.8000000000000007,1.0,0.0,0.0
57,cutterhead,0.0,1.5999999999999988,-8.881784197001252e-16,1.0,0.0,0.0
58,cutterhead,0.0,1.5999999999999988,0.7999999999999989,1.0,0.0,0.0
