case_id,tunnel,start_chainage,config,output_dir,train_samples,test_samples,test_chainage_min,test_chainage_max,full_mae,full_rmse,full_r2,full_pearson,persistence_mae,persistence_rmse,random_edges_mae,no_prior_mae
bsll_dyk1017_205,BSLL,DyK1017+205,D:\WTC\小论文\Retry\experiments\config\bsll_dyk1017_205.yaml,D:\WTC\小论文\Retry\experiments\outputs\bsll_dyk1017_205,30,8,41.0,48.0,0.4146914482116699,0.5927149057388306,-0.6209037899971008,0.4872241717375867,0.41460180282592773,0.5927202105522156,0.41453760862350464,0.4146355986595154
bsll_dyk1017_205_h3,BSLL,DyK1017+205,D:\WTC\小论文\Retry\experiments\config\bsll_dyk1017_205_h3.yaml,D:\WTC\小论文\Retry\experiments\outputs\bsll_dyk1017_205_h3,29,7,42.0,48.0,0.4617002606391907,0.553692638874054,-0.6305340528488159,0.5046761802114696,0.4618039131164551,0.5538076162338257,0.4609300494194031,0.46111828088760376
sjls_dyk1252_411,SJLS,Dyk1252+411,D:\WTC\小论文\Retry\experiments\config\sjls_dyk1252_411.yaml,D:\WTC\小论文\Retry\experiments\outputs\sjls_dyk1252_411,76,17,99.0,115.0,0.25532060861587524,0.34723544120788574,-0.48234623670578003,0.9601231058086009,0.2553707957267761,0.3473822772502899,0.2558825612068176,0.2570056915283203
