chainage,component,mean_relevance,sum_relevance,share_relevance,AdvanceRate,Torque,Thrust,Penetration,ShieldPressure
41.0,cutterhead,1.1810742616653442,265.74169921875,0.17056479477639871,0.7699741721153259,-0.6745408177375793,-0.17546114325523376,0.5901483297348022,-0.7608100175857544
41.0,front_shield,1.1733776330947876,402.4685363769531,0.2583221357916606,0.7699741721153259,-0.6745408177375793,-0.17546114325523376,0.5901483297348022,-0.7608100175857544
41.0,middle_shield,1.1393235921859741,446.6148681640625,0.28665720719195603,0.7699741721153259,-0.6745408177375793,-0.17546114325523376,0.5901483297348022,-0.7608100175857544
41.0,tail_shield,1.1305744647979736,443.1851806640625,0.2844558818210998,0.7699741721153259,-0.6745408177375793,-0.17546114325523376,0.5901483297348022,-0.7608100175857544
42.0,cutterhead,1.1918396949768066,268.1639404296875,0.17069792545249707,0.38712480664253235,0.29999101161956787,-0.8065298199653625,0.37597429752349854,-0.7136938571929932
42.0,front_shield,1.1847559213638306,406.37127685546875,0.25867286187532285,0.38712480664253235,0.29999101161956787,-0.8065298199653625,0.37597429752349854,-0.7136938571929932
42.0,middle_shield,1.1496977806091309,450.6815185546875,0.2868782437109114,0.38712480664253235,0.29999101161956787,-0.8065298199653625,0.37597429752349854,-0.7136938571929932
42.0,tail_shield,1.1371647119522095,445.7685546875,0.2837509301033913,0.38712480664253235,0.29999101161956787,-0.8065298199653625,0.37597429752349854,-0.7136938571929932
43.0,cutterhead,1.2012147903442383,270.2733154296875,0.1705918339189822,0.3836137056350708,0.4260995388031006,-0.4579770863056183,0.34844526648521423,-0.1737443506717682
43.0,front_shield,1.1967260837554932,410.47705078125,0.2590860024901186,0.3836137056350708,0.4260995388031006,-0.4579770863056183,0.34844526648521423,-0.1737443506717682
43.0,middle_shield,1.1605976819992065,454.95428466796875,0.28715926190278435,0.3836137056350708,0.4260995388031006,-0.4579770863056183,0.34844526648521423,-0.1737443506717682
43.0,tail_shield,1.1444456577301025,448.6227111816406,0.2831628824196366,0.3836137056350708,0.4260995388031006,-0.4579770863056183,0.34844526648521423,-0.1737443506717682
44.0,cutterhead,1.2088700532913208,271.9957580566406,0.17023791478299447,0.40445676445961,-0.40226733684539795,-0.704860508441925,0.34148895740509033,0.1282034069299698
44.0,front_shield,1.208640456199646,414.56365966796875,0.2594689471296295,0.40445676445961,-0.40226733684539795,-0.704860508441925,0.34148895740509033,0.1282034069299698
44.0,middle_shield,1.1717442274093628,459.32373046875,0.28748357931767055,0.40445676445961,-0.40226733684539795,-0.704860508441925,0.34148895740509033,0.1282034069299698
44.0,tail_shield,1.152693271636963,451.85577392578125,0.28280950146201417,0.40445676445961,-0.40226733684539795,-0.704860508441925,0.34148895740509033,0.1282034069299698
45.0,cutterhead,1.2149326801300049,273.35986328125,0.16967735023169053,-0.08543089032173157,-0.5500310659408569,-0.4047746956348419,0.24835029244422913,-0.18523769080638885
45.0,front_shield,1.219826340675354,418.40045166015625,0.2597055731638102,-0.08543089032173157,-0.5500310659408569,-0.4047746956348419,0.24835029244422913,-0.18523769080638885
45.0,middle_shield,1.1830341815948486,463.7494201660156,0.28785415620541727,-0.08543089032173157,-0.5500310659408569,-0.4047746956348419,0.24835029244422913,-0.18523769080638885
45.0,tail_shield,1.1621102094650269,455.54718017578125,0.28276293933545754,-0.08543089032173157,-0.5500310659408569,-0.4047746956348419,0.24835029244422913,-0.18523769080638885
46.0,cutterhead,1.2189446687698364,274.2625427246094,0.16889186993269342,-0.017781943082809448,0.1758090704679489,-1.1837600469589233,0.3679903745651245,-1.4964722394943237
46.0,front_shield,1.229620337486267,421.759765625,0.2597211955053795,-0.017781943082809448,0.1758090704679489,-1.1837600469589233,0.3679903745651245,-1.4964722394943237
46.0,middle_shield,1.1943925619125366,468.201904296875,0.28832043317759193,-0.017781943082809448,0.1758090704679489,-1.1837600469589233,0.3679903745651245,-1.4964722394943237
46.0,tail_shield,1.1726276874542236,459.6700744628906,0.2830665013781772,-0.017781943082809448,0.1758090704679489,-1.1837600469589233,0.3679903745651245,-1.4964722394943237
47.0,cutterhead,1.222032070159912,274.95721435546875,0.1680473467684374,-0.1640542447566986,-1.039339542388916,-1.2569249868392944,0.5944369435310364,-0.5219693183898926
47.0,front_shield,1.2376630306243896,424.5184326171875,0.25945562629749974,-0.1640542447566986,-1.039339542388916,-1.2569249868392944,0.5944369435310364,-0.5219693183898926
47.0,middle_shield,1.2054941654205322,472.5537109375,0.2888136523887013,-0.1640542447566986,-1.039339542388916,-1.2569249868392944,0.5944369435310364,-0.5219693183898926
47.0,tail_shield,1.1840804815292358,464.1595458984375,0.28368333723600575,-0.1640542447566986,-1.039339542388916,-1.2569249868392944,0.5944369435310364,-0.5219693183898926
48.0,cutterhead,1.2234989404678345,275.2872619628906,0.16710238152403845,-0.11198006570339203,-0.9973963499069214,0.39392587542533875,-0.6030535697937012,-0.6670401096343994
48.0,front_shield,1.2437434196472168,426.60400390625,0.2589533003166495,-0.11198006570339203,-0.9973963499069214,0.39392587542533875,-0.6030535697937012,-0.6670401096343994
48.0,middle_shield,1.2158377170562744,476.6083679199219,0.2893064966603506,-0.11198006570339203,-0.9973963499069214,0.39392587542533875,-0.6030535697937012,-0.6670401096343994
48.0,tail_shield,1.1962171792984009,468.9171447753906,0.28463784001739545,-0.11198006570339203,-0.9973963499069214,0.39392587542533875,-0.6030535697937012,-0.6670401096343994
