chainage,component,mean_relevance,sum_relevance,share_relevance,AdvanceRate,Torque,Thrust,Penetration,ShieldPressure
42.0,cutterhead,0.9308518767356873,209.44166564941406,0.16730154695762997,0.39304107427597046,0.32022708654403687,-0.7928785085678101,0.36896437406539917,-0.6969980001449585
42.0,front_shield,0.9280117750167847,318.30804443359375,0.25426377353176494,0.39304107427597046,0.32022708654403687,-0.7928785085678101,0.36896437406539917,-0.6969980001449585
42.0,middle_shield,0.9277180433273315,363.66546630859375,0.290495183467167,0.39304107427597046,0.32022708654403687,-0.7928785085678101,0.36896437406539917,-0.6969980001449585
42.0,tail_shield,0.9195564985275269,360.4661560058594,0.2879395813562628,0.39304107427597046,0.32022708654403687,-0.7928785085678101,0.36896437406539917,-0.6969980001449585
43.0,cutterhead,0.9278888702392578,208.77499389648438,0.1665934410698187,0.3894787132740021,0.4474655091762543,-0.4417145848274231,0.34110090136528015,-0.15362463891506195
43.0,front_shield,0.927273690700531,318.05487060546875,0.2537940696549732,0.3894787132740021,0.4474655091762543,-0.4417145848274231,0.34110090136528015,-0.15362463891506195
43.0,middle_shield,0.9302042722702026,364.64007568359375,0.29096705417799523,0.3894787132740021,0.4474655091762543,-0.4417145848274231,0.34110090136528015,-0.15362463891506195
43.0,tail_shield,0.9227824211120605,361.730712890625,0.2886455081443669,0.3894787132740021,0.4474655091762543,-0.4417145848274231,0.34110090136528015,-0.15362463891506195
44.0,cutterhead,0.9255900979042053,208.2577667236328,0.1660484591976402,0.41062602400779724,-0.3883233368396759,-0.6904475688934326,0.33406007289886475,0.1502377986907959
44.0,front_shield,0.9256579279899597,317.50067138671875,0.25315020950908085,0.41062602400779724,-0.3883233368396759,-0.6904475688934326,0.33406007289886475,0.1502377986907959
44.0,middle_shield,0.9317166209220886,365.23291015625,0.2912081644484157,0.41062602400779724,-0.3883233368396759,-0.6904475688934326,0.33406007289886475,0.1502377986907959
44.0,tail_shield,0.9265494346618652,363.2073669433594,0.2895931546707249,0.41062602400779724,-0.3883233368396759,-0.6904475688934326,0.33406007289886475,0.1502377986907959
45.0,cutterhead,0.9235460758209229,207.79786682128906,0.16562257858056906,-0.08641300350427628,-0.5374110341072083,-0.3881136178970337,0.2397899329662323,-0.16519086062908173
45.0,front_shield,0.9235236644744873,316.76861572265625,0.2524762922350112,-0.08641300350427628,-0.5374110341072083,-0.3881136178970337,0.2397899329662323,-0.16519086062908173
45.0,middle_shield,0.9320412278175354,365.36016845703125,0.29120555536080756,-0.08641300350427628,-0.5374110341072083,-0.3881136178970337,0.2397899329662323,-0.16519086062908173
45.0,tail_shield,0.9304090142250061,364.7203369140625,0.2906955859774606,-0.08641300350427628,-0.5374110341072083,-0.3881136178970337,0.2397899329662323,-0.16519086062908173
46.0,cutterhead,0.9217952489852905,207.4039306640625,0.16531982403926854,-0.01777651533484459,0.1949325054883957,-1.1729347705841064,0.3608834445476532,-1.4847400188446045
46.0,front_shield,0.9213070869445801,316.0083312988281,0.2518874235314449,-0.01777651533484459,0.1949325054883957,-1.1729347705841064,0.3608834445476532,-1.4847400188446045
46.0,middle_shield,0.9312134385108948,365.0356750488281,0.2909666821352315,-0.01777651533484459,0.1949325054883957,-1.1729347705841064,0.3608834445476532,-1.4847400188446045
46.0,tail_shield,0.933964192867279,366.11395263671875,0.29182616758724206,-0.01777651533484459,0.1949325054883957,-1.1729347705841064,0.3608834445476532,-1.4847400188446045
47.0,cutterhead,0.9210110306739807,207.22747802734375,0.16522264567884398,-0.16618411242961884,-1.0311036109924316,-1.246647834777832,0.590080976486206,-0.5040577054023743
47.0,front_shield,0.9194632172584534,315.3758850097656,0.25144946317275924,-0.16618411242961884,-1.0311036109924316,-1.246647834777832,0.590080976486206,-0.5040577054023743
47.0,middle_shield,0.9295099377632141,364.3678894042969,0.29051083022807767,-0.16618411242961884,-1.0311036109924316,-1.246647834777832,0.590080976486206,-0.5040577054023743
47.0,tail_shield,0.9368886351585388,367.2603454589844,0.29281698791727273,-0.16618411242961884,-1.0311036109924316,-1.246647834777832,0.590080976486206,-0.5040577054023743
48.0,cutterhead,0.9223222732543945,207.5225067138672,0.16547235059802745,-0.11334974318742752,-0.9887846112251282,0.41657042503356934,-0.6219571828842163,-0.6500484347343445
48.0,front_shield,0.9183488488197327,314.99365234375,0.25116668501236444,-0.11334974318742752,-0.9887846112251282,0.41657042503356934,-0.6219571828842163,-0.6500484347343445
48.0,middle_shield,0.927374541759491,363.53082275390625,0.2898687988520914,-0.11334974318742752,-0.9887846112251282,0.41657042503356934,-0.6219571828842163,-0.6500484347343445
48.0,tail_shield,0.9389669299125671,368.0750427246094,0.29349222636409383,-0.11334974318742752,-0.9887846112251282,0.41657042503356934,-0.6219571828842163,-0.6500484347343445
