chainage,AdvanceRate,RPM,Torque,Thrust,Penetration,ShieldPressure
0.0,48.0,6.0,3.2,19.0,12.5,1.45
1.0,44.69799876391283,5.6513499176390205,3.6731485434382787,21.117259256954505,10.590857134097584,1.1567635716345812
2.0,43.25258108373201,5.549799226593244,3.870276729760916,21.584908904891535,10.196020945776153,1.1000911959142712
3.0,43.19355959605484,5.613795918164223,3.915153367394761,21.558963710333334,10.145134576741661,1.0604437693583106
4.0,43.67621474266017,5.577501197828411,3.899291892594277,21.486819478017175,10.324238234190783,1.0732630899128472
5.0,43.526209254985176,5.564010432137097,3.9099702895040425,21.601132009093597,10.329347650976235,1.0917511556551738
6.0,44.527940356912154,5.566544525933518,3.8765109441984937,21.296617280126096,10.418602968818568,1.1131389453596754
7.0,44.11918264637969,5.55233305038513,3.8543879757753974,21.4724907321417,10.508155726984374,1.1095471849150027
8.0,43.98572619100056,5.610025075761601,3.8693001785915704,21.353262000499882,10.592430156211423,1.105807791088089
9.0,44.53266646175874,5.619239856210646,3.8699283602533785,21.3578285563579,10.361843837563834,1.0972583936338376
10.0,44.368195146811146,5.591005810884198,3.847182884534728,21.486400953748145,10.432653726440199,1.1231759751614336
11.0,44.031480325585946,5.605789777838139,3.8482412388753966,21.27172405453213,10.684681262328393,1.1267203496299407
12.0,44.50693805680201,5.6069834612582765,3.862005605849717,21.02028236180304,10.520465191835935,1.0906827685038762
13.0,44.49464541507142,5.659732795208942,3.8398250573657324,21.114821157082922,10.62639007595768,1.1087918959684362
14.0,45.08359572108763,5.63317516768187,3.8405917299809507,20.815196824753976,10.682913536964225,1.1005292062959664
15.0,44.647343602497045,5.67081711468471,3.812795590776486,20.869259069779936,10.822329748036836,1.1122054389468938
16.0,45.22657493082245,5.650810258753026,3.8083993460207726,20.841163681705833,10.592411213217614,1.0726000557229955
17.0,44.69629487830063,5.602518098564998,3.832616524028523,20.6518337316591,10.719439426923062,1.1114613113381047
18.0,44.91508487966719,5.680212299830039,3.804690987481913,20.76111107675198,10.672586739433221,1.077641467896761
19.0,45.33713221279897,5.5702599874996155,3.8448828953512155,20.88760825330256,10.69880631622415,1.037128908355266
20.0,45.113751071319676,5.606108501015436,3.858093902067621,20.89152727097355,10.9617188092773,1.0381154996413295
21.0,44.6235128400983,5.645141872303647,3.8750722020594512,21.210288382874396,10.888316323246636,1.0332080654085336
22.0,45.25360246900982,5.578762329486471,3.8736228220894957,20.84529109199739,10.67886725770439,0.9798554764403833
23.0,44.96048225464732,5.607521469159562,3.874816830363666,20.82039476737243,10.673133919395003,0.9936039405665378
24.0,45.17878887506935,5.763091799920236,3.9595694718179617,20.905767272922745,10.297544740448753,0.9669881463150609
25.0,44.04779041867791,5.616396835185287,3.988424101319948,21.208339432292327,10.542187933831535,0.9438990845905415
26.0,43.745862820898715,5.5436589724213645,4.016239910386161,21.332180819742838,10.34546028853683,0.9598836748224394
27.0,43.403989104163365,5.616102262737869,4.119773151174972,21.382443496416915,10.059729513413027,0.9099562824534876
28.0,43.52956860077854,5.521791074766043,4.2572692836481565,21.667290219011182,10.077739555766586,0.9258858157243228
29.0,42.202392096406044,5.52077959554831,4.335538913897546,22.2705815054956,9.70720773987468,0.9109946936851244
30.0,40.87506886141834,5.505975927892287,4.515634402459528,22.639847225823047,9.441244489216736,0.9601661599502846
31.0,40.71652822955748,5.476322766821012,4.600217059002507,23.25740726066109,9.194175775213445,1.0244790833223614
32.0,39.511585585291826,5.365590431975161,4.6880402212709065,23.859759489091815,9.028231520746969,1.0384473333213475
33.0,38.300793854732696,5.4450558746489195,4.794773133643685,23.807972151296703,8.578016193094268,1.0733716842598993
34.0,37.47650004538447,5.345359430544625,4.914052796375923,24.61748171040699,8.15401640319624,1.1357081569292697
35.0,36.03043658410483,5.299681906661414,4.931178211055553,24.517132682213038,7.716080031462222,1.1606486522126112
36.0,36.285423583478476,5.1990679734835865,4.9497359390917115,24.878608137935544,7.512847469003322,1.2195681086357946
37.0,35.90213154762302,5.292693389555512,4.90191766272739,25.06560915441612,7.35341242187712,1.241372110875913
38.0,35.52933130055986,5.177283481009063,4.8179282440801625,25.38850307420032,7.590752714729816,1.3020185329723597
39.0,35.05334315839752,5.192033469169643,4.646732949003987,25.306719671130395,7.341000951892515,1.3265587694190473
40.0,35.06075925908506,5.1846065424567165,4.460558572872914,25.339545052527935,7.155412526084396,1.3252471543913618
41.0,35.19897580305441,5.22986671200366,4.288627309168886,24.96185334349046,7.618281407953002,1.3397443087257033
